Modelo,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,MASE_mean,MASE_std
SARIMAX,12.285499632967635,6.102428302305499,13.343340494170588,6.538923480209211,22.45131856091848,11.7225525292437,12.285499632967635,6.102428302305499
SES,13.612496483151654,5.372713635735724,15.243443019551984,5.565018903857984,24.642917301114,10.526044551427578,13.612496483151654,5.372713635735724
Holt_Winters,13.803248482585188,6.118872450322247,16.391115702595744,5.851362125198698,25.05060189378118,11.423826471735758,13.803248482585188,6.118872450322247
MA_8,13.875,5.376090005756972,15.709390933236314,4.693984688953413,25.09358523115075,10.533490380807658,13.875,5.376090005756972
Naive,14.0,5.825590098865522,15.653843972680045,4.993571198899936,25.261645663041918,11.323094342585179,14.0,5.825590098865522
Theta,14.046960120987938,5.254380774108155,15.94981291100772,4.704514222907287,25.504570399721064,10.234306987450196,14.046960120987938,5.254380774108155
MA_4,14.916666666666666,6.482347825698135,16.483613246042527,6.979755836154805,27.203472104806412,12.468413663501208,14.916666666666666,6.482347825698135
Seasonal_Naive,23.083333333333332,2.254624876411447,26.272854733848106,2.7804057619657834,41.813410142220526,5.402722334320298,23.083333333333332,2.254624876411447
