feature,importance
dow,0.0
payload_per_km,0.0
no_correctivos_sum14,0.0
intensidad_uso,0.0
consumo_mean_3,0.0
dow_sin,0.0
no_cycles_std7,0.0
no_inspe_prio_1_mean7,0.0
total_payload_lag10,0.0
dow_cos,0.0
total_payload_mean7,0.0
no_inspe_prio_2_mean7,0.0
horas_down,0.0
