fecha,real,prediccion,error
2025-07-25,4.0,3.8615923667896386,0.13840763321036142
2025-07-26,4.0,4.29269390980067,-0.2926939098006702
2025-07-27,6.0,3.887780415217717,2.112219584782283
2025-07-28,6.0,2.9734684243941616,3.0265315756058384
2025-07-29,2.0,2.7099083132698545,-0.7099083132698545
2025-07-30,6.0,4.939606347508956,1.0603936524910438
2025-07-31,6.0,5.117875810319487,0.8821241896805132
2025-08-01,2.0,3.856145273130017,-1.856145273130017
2025-08-02,4.0,4.287246816141049,-0.28724681614104863
2025-08-03,4.0,3.8823333215580953,0.1176666784419047
2025-08-04,6.0,2.96802133073454,3.03197866926546
2025-08-05,2.0,2.704461219610233,-0.7044612196102329
2025-08-06,10.0,4.934159253849335,5.065840746150665
2025-08-07,10.0,5.112428716659865,4.887571283340135
2025-08-08,7.0,4.897527011369491,2.1024729886305087
2025-08-09,8.0,5.35111168339449,2.64888831660551
2025-08-10,4.0,4.964084586236292,-0.9640845862362921
2025-08-11,2.0,4.088046500067104,-2.0880465000671036
2025-08-12,3.0,3.804297077615151,-0.8042970776151508
2025-08-13,7.0,5.952139872469701,1.0478601275302992
2025-08-14,4.0,6.1779047452463285,-2.1779047452463285
2025-08-15,8.0,4.893465536390304,3.1065344636096963
2025-08-16,4.0,5.347050208415303,-1.347050208415303
2025-08-17,6.0,4.9600231112571045,1.0399768887428955
2025-08-18,0.0,4.083985025087916,-4.083985025087916
2025-08-19,4.0,3.800235602635963,0.19976439736403684
2025-08-20,0.0,5.948078397490513,-5.948078397490513
2025-08-21,8.0,6.173843270267141,1.8261567297328591
2025-08-22,2.0,4.4856384613650295,-2.4856384613650295
2025-08-23,4.0,4.886180687115855,-0.8861806871158553
2025-08-24,2.0,4.501777162414602,-2.5017771624146024
2025-08-25,2.0,3.5513022091419204,-1.5513022091419204
2025-08-26,0.0,3.2866319574967253,-3.2866319574967253
2025-08-27,2.0,5.532088288130011,-3.5320882881300113
2025-08-28,4.0,5.710636842994761,-1.7106368429947612
2025-08-29,3.0,4.482313788456257,-1.4823137884562572
2025-08-30,4.0,4.882856014207083,-0.8828560142070829
2025-08-31,4.0,4.49845248950583,-0.49845248950583
2025-09-01,1.0,3.547977536233148,-2.547977536233148
2025-09-02,2.0,3.283307284587953,-1.283307284587953
2025-09-03,2.0,5.528763615221239,-3.528763615221239
2025-09-04,1.0,5.707312170085989,-4.707312170085989
2025-09-05,2.0,2.7402949608864526,-0.7402949608864526
2025-09-06,2.0,3.1710189978811822,-1.1710189978811822
2025-09-07,0.0,2.767915014056021,-2.767915014056021
2025-09-08,0.0,1.8160305424259815,-1.8160305424259815
2025-09-09,2.0,1.5559772748222684,0.44402272517773156
2025-09-10,4.0,3.7210971478388504,0.27890285216114963
2025-09-11,6.0,4.0220194899912345,1.9779805100087655
2025-09-12,6.0,2.7356402448420316,3.2643597551579684
2025-09-13,3.0,3.166364281836761,-0.16636428183676122
2025-09-14,2.0,2.7632602980116,-0.7632602980116001
2025-09-15,6.0,1.81137582638156,4.1886241736184395
2025-09-16,1.0,1.551322558777847,-0.551322558777847
2025-09-17,3.0,3.716442431794429,-0.7164424317944289
2025-09-18,0.0,4.017364773946813,-4.017364773946813
2025-09-19,4.0,2.609070994436704,1.390929005563296
2025-09-20,6.0,2.994988633792822,3.005011366207178
2025-09-21,1.0,2.5639240585763643,-1.5639240585763643
2025-09-22,5.0,1.6838798915231716,3.316120108476828
2025-09-23,1.0,1.4079665334200648,-0.40796653342006484
2025-09-24,3.0,3.546588869112549,-0.5465888691125489
2025-09-25,0.0,3.855607073996083,-3.855607073996083
2025-09-26,2.0,2.603523729826261,-0.6035237298262608
2025-09-27,0.0,2.9894413691823782,-2.9894413691823782
2025-09-28,2.0,2.5583767939659205,-0.5583767939659205
2025-09-29,0.0,1.6783326269127279,-1.6783326269127279
2025-09-30,2.0,1.4024192688096215,0.5975807311903785
2025-10-01,4.0,3.541041604502105,0.45895839549789486
2025-10-02,2.0,3.8500598093856393,-1.8500598093856393
